event,gps,catalog,network_snr,mass1_source,mass2_source,mass_ratio_q,chirp_mass,total_mass,chi_eff,final_mass,luminosity_distance,p_astro,false_alarm_rate,lvc_source_type,eta_proj,lambda1_lambda2,lambda2_lambda3,geometric_class,geometry_mode,symmetry,cross_phase_rotation,n_detector_shifts,detector_trajectory,eta_inspiral,eta_post_inspiral,eta_merger_ringdown,waveform_correlation,envelope_correlation,det_power_merg_H1,det_power_merg_L1,det_power_merg_V1,quadrant,eta_snr_ratio,imr_isco_freq,imr_isco_eta,imr_merger_drop,imr_merger_drop_freq,imr_qnm_peak_freq,imr_qnm_peak_eta,imr_qnm_peak_r12,imr_eta_amplitude_ringdown,imr_n_class_A_regions,imr_eta_max,imr_eta_min,imr_eta_std,geom_isco_freq,geom_mass_total_est,geom_mass_total_err_pct,geom_qnm_freq,geom_method_note
GW190602_175927,1243533585,GWTC-2.1-confident,13.2,71.8,44.8,0.624,49.1,116.6,0.12,110.5,2840.0,1.0,,BBH,0.3889,1.16,1.22,B+,multi-mode,low,0.5966,0,V1→V1→V1,0.3878,0.3642,0.3889,0.2333,0.0256,0.1369,0.1361,0.727,Q3-DiffuseStable,0.0295,40.0,0.5157,-0.0917,80.0,435.0,0.5506,2.34,0.1759,1,0.5506,0.3747,0.059,,,,,
GW190701_203306,1246048404,GWTC-2.1-confident,11.2,54.1,40.5,0.7486,40.66,94.6,-0.08,90.2,2090.0,0.9999,,BBH,0.3806,1.13,1.19,B+,multi-mode,low,0.559,0,V1→V1→V1,0.3879,0.3669,0.3806,0.2692,0.0255,0.1022,0.0966,0.8013,Q3-DiffuseStable,0.034,60.0,0.4981,-0.078,80.0,435.0,0.8394,9.06,0.4766,3,0.8394,0.3627,0.1501,,,,,
GW190706_222641,1246487219,GWTC-2.1-confident,13.4,74.0,39.4,0.5324,46.55,113.4,0.28,107.3,3630.0,1.0,,BBH,0.4024,1.26,1.16,B+,multi-mode,low,0.6393,0,V1→V1→V1,0.3804,0.3861,0.4024,0.2982,0.0474,0.1868,0.2068,0.6064,Q1-Anchored,0.03,60.0,0.4816,-0.036,60.0,435.0,0.6113,2.83,0.2367,2,0.6113,0.3695,0.0761,,,,,
GW190725_174728,1248112066,GWTC-2.1-confident,9.1,11.8,6.3,0.5339,7.43,18.1,-0.04,17.6,1030.0,0.9602,,BBH,0.3983,1.2,1.24,B+,multi-mode,low,0.6205,0,V1→V1→V1,0.3858,0.3894,0.3983,nan,nan,0.1723,0.1856,0.642,Q1-Anchored,0.0438,60.0,0.5037,-0.0525,80.0,485.0,0.8296,6.88,0.4606,2,0.8296,0.3649,0.1455,,,,,
GW190727_060333,1248242631,GWTC-2.1-confident,11.7,38.9,30.2,0.7763,29.79,69.1,0.09,65.4,3070.0,1.0,,BBH,0.3735,1.08,1.22,B+,multi-mode,low,0.6423,0,V1→V1→V1,0.4036,0.3742,0.3735,0.2156,-0.049,0.2088,0.2144,0.5768,Q3-DiffuseStable,0.0319,60.0,0.4795,-0.0866,80.0,485.0,0.5055,1.78,0.1325,2,0.5055,0.3729,0.0457,,,,,
GW190728_064510,1248331528,GWTC-2.1-confident,13.1,12.5,8.0,0.64,8.66,20.5,0.13,19.7,880.0,1.0,,BBH,0.4115,1.31,1.15,B+,multi-mode,low,0.6421,0,V1→V1→V1,0.3685,0.3753,0.4115,0.1633,-0.0695,0.204,0.2174,0.5786,Q1-Anchored,0.0314,60.0,0.4853,-0.0466,80.0,435.0,0.7756,5.79,0.4072,1,0.7756,0.3684,0.1162,,,,,
GW190805_211137,1249074715,GWTC-2.1-confident,8.1,46.2,30.6,0.6623,32.59,76.8,0.37,72.4,6130.0,0.9537,,BBH,0.4106,1.32,1.13,B+,multi-mode,low,0.6202,0,V1→V1→V1,0.4211,0.373,0.4106,0.1334,0.0357,0.1604,0.1878,0.6518,Q1-Anchored,0.0507,60.0,0.5834,-0.1347,60.0,485.0,0.7846,5.48,0.41,1,0.7846,0.3746,0.1331,,,,,
GW190814,1249852257,GWTC-2.1-confident,25.3,23.3,2.6,0.1116,6.12,25.9,,25.7,230.0,1.0,,NSBH,0.4164,1.33,1.17,B+,multi-mode,low,0.6572,1,L1→V1→V1,0.3863,0.3694,0.4164,0.1129,-0.058,0.2518,0.2512,0.497,Q2-CoherentDynamic,0.0165,80.0,0.452,-0.0228,105.0,435.0,0.8354,8.89,0.4504,1,0.8354,0.385,0.1324,,,,,
GW190828_063405,1251009263,GWTC-2.1-confident,16.5,31.9,25.8,0.8088,24.95,57.7,0.15,54.3,2070.0,1.0,,BBH,0.4017,1.29,1.09,B+,multi-mode,low,0.6561,1,L1→V1→V1,0.3659,0.3843,0.4017,0.2517,0.0746,0.2529,0.2279,0.5192,Q2-CoherentDynamic,0.0243,80.0,0.4757,-0.0628,105.0,435.0,0.7739,5.48,0.3912,2,0.7739,0.3685,0.1007,,,,,
GW190828_065509,1251010527,GWTC-2.1-confident,10.2,23.7,10.4,0.4388,13.44,34.1,0.05,33.0,1540.0,1.0,,BBH,0.3879,1.16,1.2,B+,multi-mode,low,0.6533,1,H1→V1→V1,0.3935,0.3969,0.3879,0.2912,0.1734,0.2538,0.2327,0.5135,Q4-DiffuseDynamic,0.038,60.0,0.5063,-0.1157,80.0,435.0,0.8422,8.94,0.473,2,0.8422,0.3692,0.1223,,,,,
